Systematic Name,5'UTR Length
YLR007W,1
YNL073W,1
YMR185W,1
YDR423C,1
YIL064W,1
YJR067C,1
YDL098C,1
YNL292W,1
YJL207C,1
YMR138W,1
YIL006W,2
YEL047C,2
YDR131C,2
YPR033C,2
YDR034C-A,2
YML042W,2
YGL086W,3
YHR158C,3
YGR102C,3
YJR055W,3
YGL223C,3
YKL034W,3
YFR019W,3
YGR050C,3
YDR263C,3
YCR073C,3
YKR045C,3
YBR247C,4
YJR142W,4
YAL037C-A,4
YEL006W,4
YJR115W,4
YHL032C,4
YPL259C,4
YBR269C,4
YIL072W,5
YOL071W,5
YJR062C,5
YPR189W,5
YBR074W,5
YJR006W,5
YIL049W,5
YDR511W,5
YPR175W,5
YAL016C-B,5
YGR125W,5
YHL029C,6
YOR249C,6
YDR141C,6
YGR080W,6
YOR289W,6
YHR197W,6
YMR074C,6
YOL140W,6
YOL094C,6
YBL057C,6
YLR218C,6
YMR078C,6
YBR254C,6
YDL090C,6
YBR267W,6
YNL069C,6
YCR051W,6
YAL044C,7
YJR032W,7
YFL041W-A,7
YLR144C,7
YOR301W,7
YLR351C,7
YCL008C,7
YOL114C,7
YKR078W,7
YHR069C,7
YBR268W,7
YHR060W,7
YBL104C,7
YER156C,7
YJL004C,8
YDR476C,8
YMR225C,8
YDR500C,8
YCR020C-A,8
YMR286W,8
YMR294W,8
YPL109C,8
YDL178W,8
YOR354C,8
YDL169C,8
YIL077C,8
YBR062C,8
YKR085C,8
YAL051W,8
YGR014W,8
YEL043W,8
YGR275W,8
YKR019C,8
YPR030W,8
YIL042C,8
YPR110C,8
YDL029W,8
YOR241W,8
YPL171C,8
YPL263C,8
YJL091C,8
YNL313C,8
YOR357C,8
YPL001W,8
YIR011C,9
YIL040W,9
YNR015W,9
YBR010W,9
YKL025C,9
YCL027W,9
YHR083W,9
YKR007W,9
YKL197C,9
YDL012C,9
YDL092W,9
YNL048W,9
YKR049C,9
YNR036C,9
YML096W,9
YEL005C,9
YKL179C,9
YGR003W,9
YGR001C,9
YAR027W,9
YPL199C,9
YHL033C,9
YLR151C,9
YGR274C,9
YDR205W,9
YGR232W,9
YNL022C,10
YNL024C,10
YGR058W,10
YDL157C,10
YLR362W,10
YJR074W,10
YLR059C,10
YOR202W,10
YML129C,10
YKR090W,10
YCL047C,10
YMR019W,10
YDR257C,10
YER037W,10
YLR115W,10
YMR211W,10
YDR041W,10
YLR146W-A,10
YOL070C,10
YNL315C,10
YKL156W,10
YOR279C,10
YHR116W,10
YJL037W,11
YDR336W,11
YBR007C,11
YNL038W,11
YPR071W,11
YIL076W,11
YIL115W-A,11
YDR081C,11
YCL009C,11
YKL152C,11
YCL010C,11
YLR085C,11
YLR290C,11
YOR390W,11
YBR011C,11
YLR022C,11
YDR378C,11
YDR198C,11
YPR195C,11
YOR236W,11
YIR012W,11
YKL060C,11
YLR336C,11
YML114C,11
YNL252C,11
YOL015W,12
YPL064C,12
YIL043C,12
YDL008W,12
YDR173C,12
YNL253W,12
YKL149C,12
YHR097C,12
YJR050W,12
YJL190C,12
YIL079C,12
YPL009C,12
YLL061W,12
YPL094C,12
YMR061W,12
YDR375C,13
YPL038W,13
YAL003W,13
YLR330W,13
YKR065C,13
YBR087W,13
YIL007C,13
YBR092C,13
YPR047W,13
YIL002W-A,13
YFL041W,13
YDL238C,13
YOR285W,13
YLL050C,13
YLR051C,13
YOR165W,13
YNL245C,13
YOL127W,13
YHR006W,13
YOR167C,13
YDR120C,13
YOR066W,13
YLR264W,13
YNR038W,13
YLR456W,13
YFL002C,13
YBR252W,14
YMR067C,14
YBR230C,14
YNR043W,14
YHR148W,14
YBR289W,14
YLR162W,14
YDR305C,14
YGR028W,14
YKR048C,14
YPL153C,14
YBR271W,14
YGR285C,14
YOR312C,14
YPR174C,14
YDL160C-A,14
YBR037C,14
YHR110W,14
YBR056W-A,14
YLR335W,14
YIR008C,14
YBR118W,14
YGR216C,14
YLR147C,14
YNL136W,14
YBL059C-A,14
YNL255C,14
YHR085W,14
YIL148W,14
YBL080C,14
YLR305C,14
YCR073W-A,15
YCR060W,15
YML125C,15
YIL071C,15
YBR255W,15
YIL034C,15
YGL122C,15
YOR144C,15
YDR478W,15
YML124C,15
YOR182C,15
YBL076C,15
YCR059C,15
YGR174C,15
YNL302C,15
YHR024C,15
YPR135W,15
YGR263C,15
YKL003C,15
YKL172W,15
YOR001W,15
YFL010C,15
YDR391C,15
YHR034C,15
YJR129C,15
YNL083W,15
YOR367W,15
YJL180C,15
YEL048C,16
YLR128W,16
YLR069C,16
YPR017C,16
YMR236W,16
YHR113W,16
YMR142C,16
YER009W,16
YPL176C,16
YIL061C,16
YNL026W,16
YKL167C,16
YPL134C,16
YPR101W,16
YJL062W-A,16
YOR158W,16
YHR039C-A,16
YHR031C,16
YPL268W,16
YJR065C,16
YOL064C,16
YPR132W,16
YPR180W,16
YOR128C,16
YDR025W,16
YDR424C,16
YML067C,16
YDL226C,16
YFR002W,16
YOR040W,16
YMR048W,16
YJR091C,16
YFL001W,16
YLR262C-A,16
YFR045W,16
YDR463W,16
YDR016C,17
YJR046W,17
YCR046C,17
YDL130W,17
YBL006C,17
YNL004W,17
YPL074W,17
YKR079C,17
YLR412W,17
YER183C,17
YJL191W,17
YJL039C,17
YDL237W,17
YFL016C,17
YJR002W,17
YCR016W,17
YER071C,17
YHL001W,17
YHR140W,17
YAL033W,17
YNL166C,17
YIL114C,17
YGL143C,17
YCL057W,17
YJR016C,17
YGL011C,17
YGR124W,17
YMR157C,17
YHR040W,17
YDL213C,17
YHR201C,17
YML099C,17
YNL247W,17
YER043C,17
YCR075W-A,17
YDR461W,17
YBR035C,17
YKR008W,17
YFL048C,17
YNR037C,17
YOR197W,17
YLR361C-A,17
YPR046W,17
YBR229C,17
YOR286W,18
YOR258W,18
YDL232W,18
YBL021C,18
YDR429C,18
YGR128C,18
YCR035C,18
YKL128C,18
YPL116W,18
YGL231C,18
YIL053W,18
YDR174W,18
YHR193C,18
YIR004W,18
YDL175C,18
YER058W,18
YGL127C,18
YOR323C,18
YKL194C,18
YDR236C,18
YKL203C,18
YLR175W,18
YNL059C,18
YGR081C,18
YLR195C,18
YGR077C,18
YEL061C,18
YER178W,18
YIL004C,18
YDR301W,18
YLR240W,18
YPR082C,18
YDL044C,18
YKR035W-A,18
YER128W,18
YMR022W,18
YKL204W,18
YMR193W,18
YKR094C,18
YML026C,18
YOR036W,18
YHR063C,18
YML014W,18
YMR214W,18
YCL057C-A,18
YIL097W,18
YGL103W,18
YNL152W,18
YDR447C,18
YCL054W,18
YGL147C,18
YIL016W,18
YOL022C,18
YDR287W,19
YIL154C,19
YKL033W,19
YML079W,19
YNL306W,19
YKR059W,19
YGR103W,19
YDR518W,19
YLL011W,19
YMR154C,19
YIL113W,19
YKR020W,19
YLR185W,19
YDR258C,19
YKR088C,19
YLR099W-A,19
YKL078W,19
YGL245W,19
YJR022W,19
YJL024C,19
YJR090C,19
YNL125C,19
YJL046W,19
YGL111W,19
YER056C-A,19
YOR253W,19
YPR015C,19
YGR186W,19
YFR044C,19
YJR057W,19
YPL255W,19
YOL120C,19
YNL135C,19
YER083C,19
YJL186W,19
YJL102W,19
YBR260C,19
YGL106W,19
YKL160W,19
YPR120C,19
YGR277C,19
YBR034C,19
YMR208W,20
YNL304W,20
YKL007W,20
YBR150C,20
YIR023W,20
YKL191W,20
YLR309C,20
YOR234C,20
YJL054W,20
YDR167W,20
YBL090W,20
YDR461C-A,20
YER127W,20
YLL014W,20
YDL083C,20
YBL087C,20
YML105C,20
YDL066W,20
YOR287C,20
YGL048C,20
YDR243C,20
YAL010C,20
YDL239C,20
YPL075W,20
YAL055W,20
YGL137W,20
YKR066C,20
YAL036C,20
YPL131W,20
YDR390C,20
YPL143W,20
YPL002C,20
YMR312W,20
YMR215W,20
YAL001C,20
YHL019C,20
YDR528W,20
YKL127W,20
YPR062W,20
YLR061W,20
YDR471W,20
YLR209C,20
YNL179C,20
YNL178W,20
YCR052W,20
YPR113W,20
YOR021C,20
YIR030C,20
YMR260C,20
YBR080C,21
YBL031W,21
YBR141C,21
YJL055W,21
YDR023W,21
YFL044C,21
YDR064W,21
YIL138C,21
YOR204W,21
YPL097W,21
YGR234W,21
YAL035W,21
YPL138C,21
YIL116W,21
YPR025C,21
YLR191W,21
YLR065C,21
YPL221W,21
YLR222C,21
YPR098C,21
YLR288C,21
YLR292C,21
YGL213C,21
YGR214W,21
YJL144W,21
YJL136C,21
Q0080,21
YOR259C,21
YGR042W,21
YGR045C,21
YLR441C,21
YBL085W,21
YOR196C,21
YMR035W,21
YOR188W,21
YKL207W,21
YGL060W,21
YNR022C,21
YEL031W,21
YBR256C,21
YNR021W,21
YNR035C,21
YNL314W,21
YDL075W,21
YER150W,21
YKL058W,21
YDL182W,21
YKL146W,21
YNL312W,21
YGR129W,21
YKL138C-A,21
YJR145C,21
YEL064C,21
YCR024C,21
YBR143C,21
YBR221W-A,21
